code_isin,libelle,emetteur,sous_jacent,sens,prix_exercice,date_echeance,ratio,bid,ask,cours_reference,delta,gamma,theta_jour,vega,levier,volume_jour,open_interest
FR0014008KL1,BNP CAC40 C7500 JUN25,BNP Paribas,CAC 40,Call,7500,2025-06-20,100,2.72,2.80,7520,0.50,0.00040,-0.046,0.61,13.43,21500,2480000
FR0014008KL2,BNP CAC40 C7550 JUN25,BNP Paribas,CAC 40,Call,7550,2025-06-20,100,2.18,2.26,7520,0.43,0.00039,-0.042,0.59,14.28,12340,1350000
FR0014008KL3,BNP CAC40 C7700 JUN25,BNP Paribas,CAC 40,Call,7700,2025-06-20,100,1.12,1.19,7520,0.28,0.00033,-0.030,0.50,17.71,6890,620000
FR0014008KL4,BNP CAC40 C8200 JUN25,BNP Paribas,CAC 40,Call,8200,2025-06-20,100,0.38,0.44,7520,0.12,0.00018,-0.013,0.32,20.45,2410,180000
FR0014008KL5,BNP CAC40 C7500 SEP25,BNP Paribas,CAC 40,Call,7500,2025-09-19,100,3.38,3.47,7520,0.50,0.00030,-0.031,0.76,10.82,7820,1580000
FR0014008KL6,BNP CAC40 C7800 SEP25,BNP Paribas,CAC 40,Call,7800,2025-09-19,100,1.58,1.66,7520,0.31,0.00027,-0.024,0.60,14.06,4230,510000
FR0014008KL7,BNP CAC40 P7500 JUN25,BNP Paribas,CAC 40,Put,7500,2025-06-20,100,2.60,2.68,7520,-0.50,0.00040,-0.046,0.61,14.03,13620,1690000
FR0014008KL8,BNP CAC40 P7300 JUN25,BNP Paribas,CAC 40,Put,7300,2025-06-20,100,1.22,1.29,7520,-0.28,0.00030,-0.030,0.48,16.37,5980,560000
FR0014008KL9,BNP CAC40 P7000 JUN25,BNP Paribas,CAC 40,Put,7000,2025-06-20,100,0.42,0.48,7520,-0.12,0.00016,-0.012,0.28,18.75,2180,170000
FR0014008KLA,BNP CAC40 P8000 JUN25,BNP Paribas,CAC 40,Put,8000,2025-06-20,100,5.42,5.56,7520,-0.82,0.00019,-0.030,0.34,11.10,1640,590000
FR0014008KLB,BNP TTE C60 JUN25,BNP Paribas,TotalEnergies,Call,60,2025-06-20,10,1.14,1.21,61.5,0.52,0.0041,-0.050,0.57,26.43,6820,490000
FR0014008KLC,BNP TTE C63 JUN25,BNP Paribas,TotalEnergies,Call,63,2025-06-20,10,0.56,0.63,61.5,0.30,0.0035,-0.034,0.46,29.29,3540,240000
FR0014008KLD,BNP TTE P61 JUN25,BNP Paribas,TotalEnergies,Put,61,2025-06-20,10,0.88,0.95,61.5,-0.44,0.0038,-0.045,0.53,28.47,4960,380000
FR0014008KLE,BNP TTE P58 JUN25,BNP Paribas,TotalEnergies,Put,58,2025-06-20,10,0.26,0.31,61.5,-0.16,0.0020,-0.020,0.33,31.61,1780,110000
FR0014008KLF,BNP LVMH C660 SEP25,BNP Paribas,LVMH,Call,660,2025-09-19,100,1.05,1.13,648,-0.00,0.00035,-0.024,0.68,0.00,3240,380000
FR0014008KLG,BNP LVMH C640 SEP25,BNP Paribas,LVMH,Call,640,2025-09-19,100,1.68,1.76,648,0.55,0.00040,-0.030,0.73,20.25,4510,670000
FR0014008KLH,BNP LVMH P650 SEP25,BNP Paribas,LVMH,Put,650,2025-09-19,100,1.28,1.36,648,-0.48,0.00037,-0.026,0.70,22.85,3180,490000
FR0014008KLI,BNP AIRE C130 SEP25,BNP Paribas,Air Liquide,Call,130,2025-09-19,10,1.45,1.52,134.2,0.61,0.0052,-0.038,0.62,23.96,4870,620000
