mnemonique,isin,emetteur,sous_jacent,type,strike,echeance,parite,cours_bid,cours_ask,cours_ss_jacent,delta,gamma,theta,vega,elasticite,volume,encours
CACCS7500SG,FR0013542801,Societe Generale,CAC 40,CALL,7500,2025-06-20,100,2.78,2.85,7520,0.52,0.00041,-0.048,0.62,13.72,18420,2150000
CACCS7600SG,FR0013542802,Societe Generale,CAC 40,CALL,7600,2025-06-20,100,1.85,1.92,7520,0.38,0.00038,-0.039,0.58,14.90,9870,980000
CACCS7800SG,FR0013542803,Societe Generale,CAC 40,CALL,7800,2025-06-20,100,0.72,0.78,7520,0.19,0.00028,-0.021,0.44,18.37,4210,390000
CACCS7000SG,FR0013542804,Societe Generale,CAC 40,CALL,7000,2025-06-20,100,5.10,5.22,7520,0.80,0.00022,-0.035,0.38,11.52,3180,820000
CACCS7500SGS,FR0013542805,Societe Generale,CAC 40,CALL,7500,2025-09-19,100,3.45,3.54,7520,0.51,0.00031,-0.033,0.78,10.84,6540,1240000
CACCS8000SG,FR0013542806,Societe Generale,CAC 40,CALL,8000,2025-09-19,100,0.98,1.05,7520,0.22,0.00025,-0.018,0.52,15.74,3920,420000
CACPS7500SG,FR0013542807,Societe Generale,CAC 40,PUT,7500,2025-06-20,100,2.65,2.72,7520,-0.48,0.00039,-0.044,0.60,13.28,11250,1380000
CACPS7400SG,FR0013542808,Societe Generale,CAC 40,PUT,7400,2025-06-20,100,1.90,1.97,7520,-0.36,0.00036,-0.036,0.55,13.76,7840,860000
CACPS7200SG,FR0013542809,Societe Generale,CAC 40,PUT,7200,2025-06-20,100,0.68,0.74,7520,-0.16,0.00021,-0.018,0.38,16.27,2980,290000
CACPS8000SG,FR0013542810,Societe Generale,CAC 40,PUT,8000,2025-06-20,100,5.35,5.48,7520,-0.81,0.00020,-0.031,0.35,11.12,1870,640000
TTECS60SG,FR0013542811,Societe Generale,TotalEnergies,CALL,60,2025-06-20,10,1.18,1.24,61.5,0.54,0.0042,-0.052,0.58,26.73,5640,410000
TTECS65SG,FR0013542812,Societe Generale,TotalEnergies,CALL,65,2025-06-20,10,0.32,0.37,61.5,0.22,0.0031,-0.028,0.41,36.55,2870,180000
TTECS58SG,FR0013542813,Societe Generale,TotalEnergies,CALL,58,2025-06-20,10,2.38,2.45,61.5,0.72,0.0028,-0.041,0.44,18.04,3210,310000
TTEPS62SG,FR0013542814,Societe Generale,TotalEnergies,PUT,62,2025-06-20,10,1.08,1.14,61.5,-0.52,0.0040,-0.048,0.55,28.07,4180,360000
TTEPS58SG,FR0013542815,Societe Generale,TotalEnergies,PUT,58,2025-06-20,10,0.28,0.33,61.5,-0.18,0.0022,-0.022,0.35,33.55,1920,120000
LVMHCS650SG,FR0013542816,Societe Generale,LVMH,CALL,650,2025-09-19,100,1.42,1.50,648,0.49,0.00038,-0.028,0.71,21.12,3870,580000
LVMHCS700SG,FR0013542817,Societe Generale,LVMH,CALL,700,2025-09-19,100,0.58,0.65,648,0.24,0.00028,-0.018,0.55,23.88,2140,210000
LVMHPS640SG,FR0013542818,Societe Generale,LVMH,PUT,640,2025-09-19,100,1.35,1.43,648,-0.46,0.00036,-0.025,0.68,20.83,2980,430000
